Date,Beds,Unit,SqFt,Price
2015-03-21T22:43:15.374298,1,313,716,3107
2015-03-21T22:43:15.374298,1,513,716,3302
2015-03-21T22:43:15.374298,1,508,716,3337
2015-03-21T22:43:15.374298,2,1704,855,4630
2015-03-21T22:43:15.374298,2,809,855,4050
2015-03-21T22:43:15.374298,2,911,946,4170
2015-03-21T22:43:15.374298,2,1601,950,4801
2015-03-21T22:43:15.374298,2,401,950,4256
2015-03-21T22:43:15.374298,2,501,950,4446
2015-03-21T22:43:15.374298,2,601,950,4351
2015-03-21T22:43:15.374298,2,515,986,4670
2015-03-21T22:43:15.374298,2,407,986,4535
2015-03-21T22:43:15.374298,2,1405,1195,4750
2015-03-21T22:43:15.374298,2,713,1195,4800
2015-03-21T22:43:15.374298,2,1702,1195,5370
2015-03-21T22:43:15.374298,2,302,1138,4379
2015-03-21T22:43:15.374298,2,1116,1104,4639
2015-03-21T22:43:15.374298,2,320,1138,4284
2015-03-21T22:43:15.374298,2,502,1104,4649
2015-03-21T22:43:15.374298,0,306,528,3055
2015-03-21T22:43:15.374298,0,612,587,2935
2015-03-21T22:43:15.374298,0,712,587,3300
2015-03-22T12:56:15.823252,1,1707,690,3444
2015-03-22T12:56:15.823252,1,1604,750,3500
2015-03-22T12:56:15.823252,1,1415,716,3385
2015-03-22T12:56:15.823252,1,603,714,3255
2015-03-22T12:56:15.823252,1,313,716,3102
2015-03-22T12:56:15.823252,1,513,716,3317
2015-03-22T12:56:15.823252,1,508,716,3347
2015-03-22T12:56:15.823252,2,1704,855,4640
2015-03-22T12:56:15.823252,2,809,855,4075
2015-03-22T12:56:15.823252,2,911,946,4195
2015-03-22T12:56:15.823252,2,1601,950,4811
2015-03-22T12:56:15.823252,2,401,950,4281
2015-03-22T12:56:15.823252,2,501,950,4471
2015-03-22T12:56:15.823252,2,601,950,4366
2015-03-22T12:56:15.823252,2,515,986,4695
2015-03-22T12:56:15.823252,2,407,986,4545
2015-03-22T12:56:15.823252,2,1405,1195,4760
2015-03-22T12:56:15.823252,2,713,1195,4810
2015-03-22T12:56:15.823252,2,1702,1195,5395
2015-03-22T12:56:15.823252,2,302,1138,4389
2015-03-22T12:56:15.823252,2,1116,1104,4649
2015-03-22T12:56:15.823252,2,320,1138,4309
